,prompt_id,Prompt,Word,Label Type,index
0,601,Write a function to find the longest chain which can be formed from the given set of pairs.,Write,Operator,"(0, 4)"
1,601,Write a function to find the longest chain which can be formed from the given set of pairs.,find,Operator,"(20, 23)"
2,601,Write a function to find the longest chain which can be formed from the given set of pairs.,chain,Datatype,"(37, 41)"
3,601,Write a function to find the longest chain which can be formed from the given set of pairs.,set,Datatype,"(78, 80)"
4,601,Write a function to find the longest chain which can be formed from the given set of pairs.,pairs.,Datatype,"(85, 90)"
5,601,Write a function to find the longest chain which can be formed from the given set of pairs.,longest,Property,"(29, 35)"
6,601,Write a function to find the longest chain which can be formed from the given set of pairs.,from,Property,"(63, 66)"
7,602,Write a python function to find the first repeated character in a given string.,the,Type2,"(32, 34)"
8,602,Write a python function to find the first repeated character in a given string.,given,Type2,"(66, 70)"
9,602,Write a python function to find the first repeated character in a given string.,Write,Operator,"(0, 4)"
10,602,Write a python function to find the first repeated character in a given string.,find,Operator,"(27, 30)"
11,602,Write a python function to find the first repeated character in a given string.,character,Datatype,"(51, 59)"
12,602,Write a python function to find the first repeated character in a given string.,string.,Datatype,"(72, 78)"
13,602,Write a python function to find the first repeated character in a given string.,first,Property,"(36, 40)"
14,602,Write a python function to find the first repeated character in a given string.,repeated,Property,"(42, 49)"
15,602,Write a python function to find the first repeated character in a given string.,in,Property,"(28, 29)"
16,603,Write a function to get a lucid number smaller than or equal to n.,,,
17,603,Write a function to get a lucid number smaller than or equal to n.,Write,Operator,"(0, 4)"
18,603,Write a function to get a lucid number smaller than or equal to n.,get,Operator,"(20, 22)"
19,603,Write a function to get a lucid number smaller than or equal to n.,number,Datatype,"(32, 37)"
20,603,Write a function to get a lucid number smaller than or equal to n.,lucid,Property,"(26, 30)"
21,603,Write a function to get a lucid number smaller than or equal to n.,smaller,Property,"(39, 45)"
22,603,Write a function to get a lucid number smaller than or equal to n.,than,Property,"(47, 50)"
23,603,Write a function to get a lucid number smaller than or equal to n.,or,Conditional,"(52, 53)"
24,603,Write a function to get a lucid number smaller than or equal to n.,equal,Property,"(55, 59)"
25,603,Write a function to get a lucid number smaller than or equal to n.,to,Property,"(17, 18)"
26,603,Write a function to get a lucid number smaller than or equal to n.,n.,Datatype,"(64, 65)"
27,604,Write a function to reverse words in a given string.,,,
28,604,Write a function to reverse words in a given string.,Write,Operator,"(0, 4)"
29,604,Write a function to reverse words in a given string.,reverse,Operator,"(20, 26)"
30,604,Write a function to reverse words in a given string.,words,Datatype,"(28, 32)"
31,604,Write a function to reverse words in a given string.,string.,Datatype,"(45, 51)"
32,604,Write a function to reverse words in a given string.,in,Property,"(34, 35)"
33,605,Write a function to check if the given integer is a prime number.,,,
34,605,Write a function to check if the given integer is a prime number.,Write,Operator,"(0, 4)"
35,605,Write a function to check if the given integer is a prime number.,check,Operator,"(20, 24)"
36,605,Write a function to check if the given integer is a prime number.,integer,Datatype,"(39, 45)"
37,605,Write a function to check if the given integer is a prime number.,number.,Datatype,"(58, 64)"
38,605,Write a function to check if the given integer is a prime number.,prime,Property,"(52, 56)"
39,605,Write a function to check if the given integer is a prime number.,if,Conditional,"(26, 27)"
40,606,Write a function to convert degrees to radians.,,,
41,606,Write a function to convert degrees to radians.,Write,Operator,"(0, 4)"
42,606,Write a function to convert degrees to radians.,degrees,Datatype,"(28, 34)"
43,606,Write a function to convert degrees to radians.,radians.,Datatype,"(39, 46)"
44,606,Write a function to convert degrees to radians.,convert,Operator,"(20, 26)"
45,607,Write a function to search a literals string in a string and also find the location within the original string where the pattern occurs by using regex.,,,
46,607,Write a function to search a literals string in a string and also find the location within the original string where the pattern occurs by using regex.,Write,Operator,"(0, 4)"
47,607,Write a function to search a literals string in a string and also find the location within the original string where the pattern occurs by using regex.,search,Operator,"(20, 25)"
48,607,Write a function to search a literals string in a string and also find the location within the original string where the pattern occurs by using regex.,find,Operator,"(66, 69)"
49,607,Write a function to search a literals string in a string and also find the location within the original string where the pattern occurs by using regex.,string,Datatype,"(38, 43)"
50,607,Write a function to search a literals string in a string and also find the location within the original string where the pattern occurs by using regex.,regex.,Datatype,"(145, 150)"
51,607,Write a function to search a literals string in a string and also find the location within the original string where the pattern occurs by using regex.,literals,Datatype,"(29, 36)"
